empresa_id,periodo_star,incidencia_id,interrupcion_id,bloque_reposicion_id,causa_id,calificacion_interrupcion_id,fh_inicio_interrupcion,fh_termino_bloque,duracion,clientes_int,alimentador_id,comuna_id,nivel_tension,Horas_interrupcion,clientes_comuna,clientes_empresa,SAIFI_COMUNA,SAIDI_COMUNA,SAIFI_EMPRESA,SAIDI_EMPRESA,tipo_interrupcion,year,nombre_comuna
006,012026,1367427,006307202601010014,1,1402,2,2026-01-01 13:17:00,2026-01-01 14:10:00,3180,222,60000020,5109,BT,0.883333333,93708,705741,0.00236906133948,0.00209267085,0.000314562991238,0.00027786398,interna,2026,Viña del Mar
006,012026,1367417,006307202601010015,1,2401,2,2026-01-01 11:22:00,2026-01-01 17:03:00,20460,160,60000007,5109,BT,5.683333333,93708,705741,0.001707431596021,0.0097039029,0.000226712065757,0.00128848024,interna,2026,Viña del Mar
006,012026,1367468,006307202601010016,1,2401,2,2026-01-01 15:36:00,2026-01-01 16:58:00,4920,1,60000028,5101,DOM,1.366666666,126609,705741,0.000007898332661,0.00001079439,0.00000141695041,0.0000019365,interna,2026,Valparaíso
006,012026,1367469,006307202601010017,1,2401,2,2026-01-01 15:41:00,2026-01-01 16:49:00,4080,1,60000008,5801,DOM,1.133333333,68358,705741,0.000014628865677,0.00001657938,0.00000141695041,0.00000160588,interna,2026,Quilpué
006,012026,1367450,006307202601010018,1,2401,2,2026-01-01 14:46:00,2026-01-01 16:08:00,4920,1,60000115,5109,DOM,1.366666666,93708,705741,0.000010671447475,0.00001458431,0.00000141695041,0.0000019365,interna,2026,Viña del Mar
006,012026,1367513,006307202601010019,1,1402,3,2026-01-01 15:29:00,2026-01-01 17:47:00,8280,29,60000012,5801,MT,2.3,68358,705741,0.000424237104654,0.00097574534,0.000041091561918,0.00009451059,FM,2026,Quilpué
006,012026,1367423,006307202601010020,1,2401,2,2026-01-01 13:16:00,2026-01-01 14:03:00,2820,612,60000112,5601,MT,0.783333333,35786,705741,0.017101659866987,0.01339630022,0.000867173651523,0.00067928603,interna,2026,San Antonio
006,012026,1367423,006307202601010020,2,2401,2,2026-01-01 13:16:00,2026-01-01 14:29:00,4380,705,60000112,5601,MT,1.216666666,35786,705741,0.019700441513441,0.02396887049,0.000998950039745,0.00121538921,interna,2026,San Antonio
006,012026,1367423,006307202601010020,3,2401,2,2026-01-01 13:16:00,2026-01-01 18:20:00,18240,1712,60000112,5601,MT,5.066666666,35786,705741,0.047839937405689,0.24238901616,0.002425819103608,0.01229081679,interna,2026,San Antonio
006,012026,1367476,006307202601010021,1,1806,3,2026-01-01 15:46:00,2026-01-01 19:00:00,11640,236,60000119,5303,MT,3.233333333,4897,705741,0.048192771084337,0.15582329316,0.000334400296992,0.00108122763,FM,2026,Rinconada
006,012026,1367476,006307202601010021,1,1806,3,2026-01-01 15:46:00,2026-01-01 19:00:00,11640,1,60000119,5301,MT,3.233333333,30648,705741,0.000032628556512,0.000105499,0.00000141695041,0.00000458147,FM,2026,Los Andes
006,012026,1367518,006307202601010022,1,2401,2,2026-01-01 18:00:00,2026-01-01 18:45:00,2700,1,60000016,5107,DOM,0.75,19190,705741,0.000052110474205,0.00003908286,0.00000141695041,0.00000106271,interna,2026,Quintero
006,012026,1367519,006307202601010025,1,2404,2,2026-01-01 18:02:00,2026-01-01 19:59:00,7020,1,60000054,5701,DOM,1.95,33633,705741,0.000029732703,0.00005797877,0.00000141695041,0.00000276305,interna,2026,San Felipe
006,012026,1367539,006307202601010026,1,2404,2,2026-01-01 18:55:00,2026-01-01 20:22:00,5220,1,60000036,5502,DOM,1.45,21289,705741,0.000046972614965,0.00006811029,0.00000141695041,0.00000205458,interna,2026,Calera
006,012026,1367528,006307202601010027,1,2404,2,2026-01-01 18:36:00,2026-01-01 20:17:00,6060,1,60000056,5601,DOM,1.683333333,35786,705741,0.000027943888671,0.00004703888,0.00000141695041,0.0000023852,interna,2026,San Antonio
006,012026,1367572,006307202601010028,1,1602,2,2026-01-01 18:54:00,2026-01-01 20:17:00,4980,2,60000012,5804,MT,1.383333333,58055,705741,0.000034450090431,0.00004765596,0.000002833900821,0.00000392023,interna,2026,Villa Alemana
006,012026,1367572,006307202601010028,1,1602,2,2026-01-01 18:54:00,2026-01-01 20:17:00,4980,13,60000012,5801,MT,1.383333333,68358,705741,0.00019017525381,0.00026307577,0.000018420355342,0.00002548149,interna,2026,Quilpué
006,012026,1367521,006307202601010029,1,2401,2,2026-01-01 18:13:00,2026-01-01 21:10:00,10620,1,60000018,5109,DOM,2.95,93708,705741,0.000010671447475,0.00003148077,0.00000141695041,0.00000418,interna,2026,Viña del Mar
006,012026,1367538,006307202601010030,1,2401,2,2026-01-01 18:55:00,2026-01-01 21:09:00,8040,1,60000019,5109,DOM,2.233333333,93708,705741,0.000010671447475,0.0000238329,0.00000141695041,0.00000316452,interna,2026,Viña del Mar
006,012026,1367458,006307202601010031,1,2404,2,2026-01-01 15:06:00,2026-01-01 21:04:00,21480,1,60000118,5304,DOM,5.966666666,9249,705741,0.000108119796734,0.00064511479,0.00000141695041,0.00000845447,interna,2026,San Esteban
006,012026,1367570,006307202601010032,1,2401,2,2026-01-01 20:02:00,2026-01-01 21:32:00,5400,1,60000092,5801,DOM,1.5,68358,705741,0.000014628865677,0.0000219433,0.00000141695041,0.00000212543,interna,2026,Quilpué
006,012026,1367591,006307202601010033,1,2404,2,2026-01-01 21:04:00,2026-01-01 22:39:00,5700,1,60000048,5702,DOM,1.583333333,5748,705741,0.000173973556019,0.00027545813,0.00000141695041,0.0000022435,interna,2026,Catemu
006,012026,1367596,006307202601010034,1,1807,2,2026-01-01 18:52:00,2026-01-01 22:40:00,13680,54,60000118,5304,BT,3.8,9249,705741,0.005838469023678,0.02218618229,0.000076515322193,0.00029075822,interna,2026,San Esteban
006,012026,1367564,006307202601010035,1,2404,2,2026-01-01 19:47:00,2026-01-01 22:40:00,10380,1,60000112,5601,DOM,2.883333333,35786,705741,0.000027943888671,0.00008057155,0.00000141695041,0.00000408554,interna,2026,San Antonio
006,012026,1367630,006307202601010036,1,2401,2,2026-01-01 21:06:00,2026-01-01 22:30:00,5040,106,60000015,5105,BT,1.4,10569,705741,0.010029331062541,0.01404106349,0.000150196743564,0.00021027544,interna,2026,Puchuncaví
006,012026,1367455,006307202601010037,1,1907,2,2026-01-01 14:36:00,2026-01-01 23:16:00,31200,29,60000038,5501,BT,8.666666666,43854,705741,0.00066128517353,0.00573113817,0.000041091561918,0.00035612687,interna,2026,Quillota
006,012026,1367719,006307202601010038,1,1706,3,2026-01-01 22:23:00,2026-01-01 23:58:00,5700,3,60000015,5105,BT,1.583333333,10569,705741,0.000283848992336,0.00044942757,0.000004250851232,0.00000673051,FM,2026,Puchuncaví
006,012026,1367711,006307202601010039,1,1704,3,2026-01-01 23:28:00,2026-01-02 00:37:00,4140,612,60000031,5101,MT,1.15,126609,705741,0.004833779589128,0.00555884653,0.000867173651523,0.0009972497,FM,2026,Valparaíso
006,012026,1367625,006307202601010040,1,1807,2,2026-01-01 22:09:00,2026-01-02 01:28:00,11940,69,60000045,5301,BT,3.316666666,30648,705741,0.002251370399373,0.00746704516,0.000097769578358,0.0003242691,interna,2026,Los Andes
006,012026,1367625,006307202601010040,1,1807,2,2026-01-01 22:09:00,2026-01-02 01:28:00,11940,2,60000045,5701,BT,3.316666666,33633,705741,0.000059465406,0.00019722693,0.000002833900821,0.0000093991,interna,2026,San Felipe
006,012026,1367580,006307202601010041,1,2401,2,2026-01-01 20:33:00,2026-01-02 01:41:00,18480,1,60000038,5501,DOM,5.133333333,43854,705741,0.000022802937018,0.00011705508,0.00000141695041,0.00000727368,interna,2026,Quillota
006,012026,1367658,006307202601010042,1,2501,2,2026-01-01 22:54:00,2026-01-02 09:03:00,36540,1,60000034,5101,DOM,10.15,126609,705741,0.000007898332661,0.00008016808,0.00000141695041,0.00001438205,interna,2026,Valparaíso
006,012026,1367404,006307202601010043,1,2401,2,2026-01-01 12:35:00,2026-01-02 09:35:00,75600,1,60000061,5601,DOM,21,35786,705741,0.000027943888671,0.00058682166,0.00000141695041,0.00002975596,interna,2026,San Antonio
006,012026,1367440,006307202601010044,1,2404,2,2026-01-01 14:11:00,2026-01-02 10:27:00,72960,1,60000060,5606,DOM,20.266666666,9221,705741,0.00010844810758,0.00219788165,0.00000141695041,0.00002871686,interna,2026,Santo Domingo
006,012026,1367705,006307202601010045,1,2401,2,2026-01-01 23:18:00,2026-01-02 11:59:00,45660,1,60000040,5803,DOM,12.683333333,9950,705741,0.000100502512562,0.00127470687,0.00000141695041,0.00001797165,interna,2026,Olmué
006,012026,1367704,006307202601010046,1,1704,3,2026-01-01 22:54:00,2026-01-02 13:00:00,50760,194,60000031,5101,BT,14.1,126609,705741,0.001532276536423,0.02160509916,0.000274888379731,0.00387592615,FM,2026,Valparaíso
006,012026,1003854,006307202601010050,1,1202,3,2026-01-01 00:01:00,2026-01-31 23:59:00,2678280,1,60000092,5109,DOM,743.966666666,93708,705741,0.000010671447475,0.00793920121,0.00000141695041,0.00105416387,FM,2026,Viña del Mar
006,012026,1008972,006307202601010051,1,1202,3,2026-01-01 00:01:00,2026-01-31 23:59:00,2678280,1,60000007,5109,DOM,743.966666666,93708,705741,0.000010671447475,0.00793920121,0.00000141695041,0.00105416387,FM,2026,Viña del Mar
006,012026,1008972,006307202601010052,1,1202,3,2026-01-01 00:01:00,2026-01-31 23:59:00,2678280,1,60000007,5109,DOM,743.966666666,93708,705741,0.000010671447475,0.00793920121,0.00000141695041,0.00105416387,FM,2026,Viña del Mar
006,012026,1008972,006307202601010053,1,1202,3,2026-01-01 00:01:00,2026-01-31 23:59:00,2678280,1,60000007,5109,DOM,743.966666666,93708,705741,0.000010671447475,0.00793920121,0.00000141695041,0.00105416387,FM,2026,Viña del Mar
006,012026,1008972,006307202601010054,1,1202,3,2026-01-01 00:01:00,2026-01-31 23:59:00,2678280,1,60000007,5109,DOM,743.966666666,93708,705741,0.000010671447475,0.00793920121,0.00000141695041,0.00105416387,FM,2026,Viña del Mar
006,012026,1008972,006307202601010055,1,1202,3,2026-01-01 00:01:00,2026-01-31 23:59:00,2678280,1,60000007,5109,DOM,743.966666666,93708,705741,0.000010671447475,0.00793920121,0.00000141695041,0.00105416387,FM,2026,Viña del Mar
006,012026,1008972,006307202601010056,1,1202,3,2026-01-01 00:01:00,2026-01-31 23:59:00,2678280,1,60000007,5109,DOM,743.966666666,93708,705741,0.000010671447475,0.00793920121,0.00000141695041,0.00105416387,FM,2026,Viña del Mar
